trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,0,-167.6099102161414,"{0: 19, 1: 2, 2: 5, 3: 2, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-104.22294382991987,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-67.26024310665926,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-165.3341967282732,"{0: 16, 1: 2, 2: 3, 3: 1, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-50.90660696094604,"{0: 17, 1: 4, 2: 3, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,16,-23.480500922919482,"{0: 6, 1: 0, 2: 3, 3: 0, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,0,-174.97336976135898,"{0: 19, 1: 2, 2: 5, 3: 1, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-83.98942861233826,"{0: 11, 1: 5, 2: 3, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-81.48535381551069,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,2,-50.5453324528067,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 1}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-48.41601187776972,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-117.70406520099323,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,1,-119.31411078057123,"{0: 17, 1: 3, 2: 1, 3: 0, 4: 3}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-164.41012120252887,"{0: 15, 1: 4, 2: 2, 3: 1, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-79.31518380637245,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-116.19948361872389,"{0: 19, 1: 2, 2: 1, 3: 0, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,7.298999892646682,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-46.380980335350216,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,10,6.45897558585577,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,15,13.869469093301404,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,6,-72.25271240399734,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 2}",1
2,True,"{'a': 0, 'e': 0}",30,2,-25.63832050435582,"{0: 25, 1: 0, 2: 2, 3: 0, 4: 1}",1
3,True,"{'a': 0, 'e': 0}",20,5,8.221892656976118,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,0,21.9958620737255,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",30,8,22.28269214923403,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,0,-14.509569502062238,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",25,1,-22.591062021247396,"{0: 20, 1: 1, 2: 1, 3: 2, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,1,-37.55908709605952,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 1}",1
9,True,"{'a': 0, 'e': 0}",20,2,28.878196785372968,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",30,16,14.59056289566927,"{0: 12, 1: 2, 2: 0, 3: 0, 4: 0}",1
