trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.005, 'e': 0.9950124791926823}",20,0,-151.73698393761978,"{0: 7, 1: 4, 2: 6, 3: 2, 4: 1}",0
2,False,"{'a': 0.005, 'e': 0.9900498337491681}",20,0,-160.4564789655717,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 3}",0
3,False,"{'a': 0.005, 'e': 0.9851119396030626}",25,0,-113.84197578265649,"{0: 12, 1: 4, 2: 7, 3: 2, 4: 0}",0
4,False,"{'a': 0.005, 'e': 0.9801986733067553}",25,0,-161.30382527771488,"{0: 15, 1: 3, 2: 4, 3: 0, 4: 3}",0
5,False,"{'a': 0.005, 'e': 0.9753099120283326}",25,7,-69.19024219868976,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 1}",1
6,False,"{'a': 0.005, 'e': 0.9704455335485082}",20,0,-64.0187794453159,"{0: 11, 1: 5, 2: 3, 3: 1, 4: 0}",0
7,False,"{'a': 0.005, 'e': 0.9656054162575665}",20,0,-85.96726959590991,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
8,False,"{'a': 0.005, 'e': 0.9607894391523232}",25,0,-181.70446197149587,"{0: 11, 1: 3, 2: 8, 3: 1, 4: 2}",0
9,False,"{'a': 0.005, 'e': 0.9559974818331}",20,0,-113.67189672232101,"{0: 11, 1: 3, 2: 3, 3: 2, 4: 1}",0
10,False,"{'a': 0.005, 'e': 0.951229424500714}",30,0,-146.1720998184974,"{0: 21, 1: 2, 2: 4, 3: 0, 4: 3}",0
11,False,"{'a': 0.005, 'e': 0.9464851479534838}",20,0,-153.81764269580339,"{0: 9, 1: 2, 2: 7, 3: 0, 4: 2}",0
12,False,"{'a': 0.005, 'e': 0.9417645335842487}",20,0,-99.19541912684113,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
13,False,"{'a': 0.005, 'e': 0.9370674633774034}",30,0,-252.5707864118836,"{0: 15, 1: 3, 2: 7, 3: 1, 4: 4}",0
14,False,"{'a': 0.005, 'e': 0.9323938199059483}",35,7,-185.44425609577783,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 3}",1
15,False,"{'a': 0.005, 'e': 0.9277434863285529}",20,0,-118.6290186094712,"{0: 10, 1: 4, 2: 3, 3: 2, 4: 1}",0
16,False,"{'a': 0.005, 'e': 0.9231163463866358}",25,0,-143.98300522482464,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 3}",0
17,False,"{'a': 0.005, 'e': 0.9185122844014574}",35,0,-168.74700388116273,"{0: 17, 1: 6, 2: 10, 3: 1, 4: 1}",0
18,False,"{'a': 0.005, 'e': 0.9139311852712282}",25,0,-148.6969267372317,"{0: 16, 1: 1, 2: 4, 3: 2, 4: 2}",0
19,False,"{'a': 0.005, 'e': 0.9093729344682314}",25,0,-167.08764396585775,"{0: 15, 1: 1, 2: 6, 3: 0, 4: 3}",0
20,False,"{'a': 0.005, 'e': 0.9048374180359595}",30,0,-220.54146383890716,"{0: 18, 1: 0, 2: 8, 3: 0, 4: 4}",0
21,False,"{'a': 0.005, 'e': 0.9003245225862656}",25,0,-121.55279727520666,"{0: 17, 1: 0, 2: 6, 3: 0, 4: 2}",0
22,False,"{'a': 0.005, 'e': 0.8958341352965282}",20,0,-123.74603862438623,"{0: 10, 1: 1, 2: 7, 3: 1, 4: 1}",0
23,False,"{'a': 0.005, 'e': 0.8913661439068313}",25,0,-128.75525620462244,"{0: 14, 1: 5, 2: 4, 3: 0, 4: 2}",0
24,False,"{'a': 0.005, 'e': 0.8869204367171575}",35,0,-245.68141655036922,"{0: 20, 1: 5, 2: 5, 3: 0, 4: 5}",0
25,False,"{'a': 0.005, 'e': 0.8824969025845955}",25,0,-165.79090398035004,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 4}",0
26,False,"{'a': 0.005, 'e': 0.8780954309205613}",20,0,-68.13029088772603,"{0: 14, 1: 0, 2: 4, 3: 2, 4: 0}",0
27,False,"{'a': 0.005, 'e': 0.8737159116880344}",20,2,-59.730389542211014,"{0: 11, 1: 4, 2: 2, 3: 0, 4: 1}",1
28,False,"{'a': 0.005, 'e': 0.8693582353988059}",20,0,-44.16787895762321,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
29,False,"{'a': 0.005, 'e': 0.8650222931107413}",30,19,-81.95644540163865,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 2}",1
30,False,"{'a': 0.005, 'e': 0.8607079764250578}",20,0,-53.2136796147999,"{0: 11, 1: 6, 2: 3, 3: 0, 4: 0}",0
31,False,"{'a': 0.005, 'e': 0.8564151774836135}",20,0,-165.0465457248501,"{0: 9, 1: 4, 2: 4, 3: 0, 4: 3}",0
32,False,"{'a': 0.005, 'e': 0.8521437889662113}",25,0,-153.2084129707511,"{0: 13, 1: 4, 2: 5, 3: 1, 4: 2}",0
33,False,"{'a': 0.005, 'e': 0.8478937040879159}",25,0,-176.39310511617947,"{0: 13, 1: 0, 2: 9, 3: 1, 4: 2}",0
34,False,"{'a': 0.005, 'e': 0.8436648165963837}",20,0,-74.56422021654949,"{0: 15, 1: 0, 2: 2, 3: 2, 4: 1}",0
35,False,"{'a': 0.005, 'e': 0.8394570207692074}",25,0,-144.37330781702357,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
36,False,"{'a': 0.005, 'e': 0.835270211411272}",20,0,-41.64229581918347,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
37,False,"{'a': 0.005, 'e': 0.8311042838521256}",20,0,-28.165762612721405,"{0: 13, 1: 5, 2: 2, 3: 0, 4: 0}",0
38,False,"{'a': 0.005, 'e': 0.8269591339433623}",20,0,-104.28776514275582,"{0: 10, 1: 5, 2: 3, 3: 1, 4: 1}",0
39,False,"{'a': 0.005, 'e': 0.8228346580560184}",20,0,-190.59509403155815,"{0: 9, 1: 2, 2: 5, 3: 1, 4: 3}",0
40,False,"{'a': 0.005, 'e': 0.8187307530779818}",20,0,-224.31554526966826,"{0: 11, 1: 0, 2: 4, 3: 0, 4: 5}",0
41,False,"{'a': 0.005, 'e': 0.8146473164114145}",25,0,-76.87753450040321,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
42,False,"{'a': 0.005, 'e': 0.8105842459701871}",25,0,-78.82324242116927,"{0: 18, 1: 0, 2: 6, 3: 0, 4: 1}",0
43,False,"{'a': 0.005, 'e': 0.8065414401773269}",30,0,-134.12775932566126,"{0: 18, 1: 1, 2: 9, 3: 1, 4: 1}",0
44,False,"{'a': 0.005, 'e': 0.8025187979624785}",20,0,-136.6643941555317,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 3}",0
45,False,"{'a': 0.005, 'e': 0.7985162187593771}",25,0,-185.54545974016204,"{0: 12, 1: 2, 2: 7, 3: 2, 4: 2}",0
46,False,"{'a': 0.005, 'e': 0.794533602503334}",20,11,-28.64969059722716,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
