trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-101.12709707810606,"{0: 17, 1: 1, 2: 3, 3: 4, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-128.6935052820217,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-91.73555234516192,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-130.43237263043088,"{0: 15, 1: 5, 2: 2, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",30,0,-230.57518873307143,"{0: 14, 1: 2, 2: 10, 3: 1, 4: 3}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-154.2768116759458,"{0: 13, 1: 5, 2: 4, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-104.18237901960546,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-106.02436359437726,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-135.30043065804813,"{0: 12, 1: 5, 2: 6, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-59.97825801854505,"{0: 14, 1: 2, 2: 2, 3: 2, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-98.0464479435798,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-27.089152895281536,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-83.52806948576189,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-103.39556278501314,"{0: 9, 1: 2, 2: 8, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-49.86170516805442,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,9,-86.4282647161614,"{0: 10, 1: 2, 2: 1, 3: 2, 4: 1}",1
17,False,"{'a': 0.5, 'e': 1.0}",20,8,-66.9875730060546,"{0: 7, 1: 1, 2: 3, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-154.28230516453178,"{0: 15, 1: 0, 2: 7, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-151.50633277219725,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-133.04383093273506,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-139.8959988002989,"{0: 13, 1: 2, 2: 8, 3: 1, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,5,-84.28724660941586,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 2}",1
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-149.98394166513262,"{0: 11, 1: 1, 2: 4, 3: 2, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-57.131847934186496,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-129.69792187316477,"{0: 15, 1: 1, 2: 6, 3: 2, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-93.89338722046894,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-112.542146498238,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-104.45418937027893,"{0: 14, 1: 2, 2: 7, 3: 2, 4: 0}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-196.2383483588856,"{0: 10, 1: 2, 2: 4, 3: 0, 4: 4}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-92.54394010215636,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
